"old_path","source_action","disposition","approved_target_url","evidence","reviewer","reviewed_at"
"/o-nas","410","PROMOTE_301","https://clover-spb.ru/about","Брендовый материал сохраняет ценность; страница «О нас» создана на новом домене с перенесённым текстом","Владелец продукта Clover","2026-09-07"
"/dostavka","410","PROMOTE_301","https://clover-spb.ru/delivery","Коммерческий интент по условиям доставки сохраняется; страница создана, порог бесплатной доставки намеренно не указан, стоимость считается при оформлении заказа","Владелец продукта Clover","2026-09-07"
"/oplata","410","PROMOTE_301","https://clover-spb.ru/payment","Условия оплаты не изменились (безналичный расчёт по счёту); страница создана на новом домене","Владелец продукта Clover","2026-09-07"
"/usloviya-vozvrata","410","PROMOTE_301","https://clover-spb.ru/returns","Обязательная для покупателя информация об обмене и возврате; страница создана с перенесённым текстом","Владелец продукта Clover","2026-09-07"
"/optovikam","410","PROMOTE_301","https://clover-spb.ru/wholesale","Отдельный B2B-интент оптовых закупок; страница создана на новом домене","Владелец продукта Clover","2026-09-07"
"/aktsii","410","PROMOTE_301","https://clover-spb.ru/aktsii","Бизнес подтвердил поддержку акций: модуль «Акции» реализован и задеплоен в production (merge 682b7f9), публичная страница /aktsii отвечает 200","Владелец продукта Clover","2026-09-07"
"/registraciya/policy","410","PROMOTE_301","https://clover-spb.ru/privacy-policy","Политика обработки персональных данных должна оставаться доступной по стабильному публичному адресу; страница создана, реквизиты приведены к ООО «КЛЕВЕР» без незаполненных полей исходного шаблона","Владелец продукта Clover","2026-09-07"
"/registraciya/agreement","410","PROMOTE_301","https://clover-spb.ru/personal-data-consent","Текст согласия сохраняет юридическое назначение; страница создана, незаполненные поля исходного шаблона заменены на ООО «КЛЕВЕР»","Владелец продукта Clover","2026-09-07"
"/registraciya","410","PROMOTE_410","","Служебный вход в старый личный кабинет; публичного эквивалента нет, приватный /lk запрещён как SEO-цель","Владелец продукта Clover","2026-09-07"
"/registraciya/register","410","PROMOTE_410","","Устаревший технический route регистрации; новый account flow открывается из интерфейса, а не через SEO-редирект","Владелец продукта Clover","2026-09-07"
"/registraciya/forgot_password","410","PROMOTE_410","","Служебный сценарий восстановления доступа без публичной поисковой ценности и без эквивалента","Владелец продукта Clover","2026-09-07"
"/magazin/product/bumazhnaya-salfetka-100l","404","CONFIRM_404","","Старый URL уже отвечает 404 на исходном домене; товар отсутствует, подменять его другим товаром нельзя","Владелец продукта Clover","2026-09-07"
